"id","organization_id","student_id","eventdate","care_type","entrytime","exittime","breaktime","worktime","status","comment","created_at","updated_at","deleted_at"
1,1,1,2022-03-14,,"13:36:00","13:37:00",,,"1",,2022-03-14 13:35:20.000,2022-03-16 18:53:02.000,2022-03-16 18:53:02.000
2,1,47,2022-03-14,,"17:52:00","17:52:00",,,"1",,2022-03-14 17:49:10.000,2022-03-15 23:13:53.000,2022-03-15 23:13:53.000
3,1,47,2022-03-15,,"11:19:00","16:16:00",,,"2",,2022-03-15 11:19:33.000,2022-03-16 18:53:05.000,2022-03-16 18:53:05.000
4,1,36,2022-03-15,,"17:44:00","18:33:00",,,"1",,2022-03-15 16:07:42.000,2022-03-15 18:33:25.000,
5,1,47,2022-03-16,,"14:39:00",,,,"1",,2022-03-16 14:39:58.000,2022-03-16 18:03:00.000,2022-03-16 18:03:00.000
6,1,19,2022-03-16,,"15:59:00","17:17:00",,,"1",,2022-03-16 15:59:47.000,2022-03-17 14:24:03.000,
7,1,10,2022-03-16,,"17:19:00","17:57:00",,,"1",,2022-03-16 17:19:00.000,2022-03-16 17:57:44.000,
8,1,31,2022-03-16,,"17:58:00","18:40:00",,,"1",,2022-03-16 17:58:42.000,2022-03-16 18:40:45.000,
9,1,47,2022-03-18,,"11:51:00","15:53:00",,,"1",,2022-03-18 11:51:28.000,2022-03-18 15:53:18.000,
10,1,32,2022-03-18,,"15:53:00","16:46:00",,,"1",,2022-03-18 15:53:32.000,2022-03-18 16:46:12.000,
11,1,47,2022-03-19,,"12:47:00",,,,"1",,2022-03-19 09:47:42.000,2022-03-19 12:47:46.000,
12,1,32,2022-03-19,,"15:55:00","16:45:00",,,"1",,2022-03-19 09:48:01.000,2022-03-19 12:57:41.000,
13,1,39,2022-03-19,,"12:55:00","14:07:00",,,"1",,2022-03-19 12:55:15.000,2022-03-19 14:07:22.000,
14,1,47,2022-03-20,,"16:41:00","16:42:00",,,"1",,2022-03-20 16:41:12.000,2022-03-20 16:42:58.000,
15,1,47,2022-03-22,,"09:37:00",,,,"1",,2022-03-22 09:37:05.000,2022-03-22 09:37:05.000,
16,1,47,2022-03-23,,"11:49:00",,,,"1",,2022-03-23 11:49:25.000,2022-03-23 11:49:25.000,
17,1,19,2022-03-23,,"15:50:00","17:20:00",,,"1",,2022-03-23 15:50:16.000,2022-03-23 17:20:11.000,
18,1,47,2022-03-24,,"12:32:55","15:58:16",,,"1",,2022-03-24 10:13:01.000,2022-03-24 15:58:16.000,
19,1,3,2022-03-24,,"16:09:37","16:46:15",,,"1",,2022-03-24 16:09:37.000,2022-03-24 16:46:15.000,
20,1,9,2022-03-24,,"16:58:59","17:39:42",,,"1",,2022-03-24 16:59:00.000,2022-03-24 17:39:42.000,
